id,start_date,end_date,guest_id,total
1,2022-02-13,2022-02-15,194,510
2,2021-12-04,2021-12-05,412,318.75
3,2021-12-07,2021-12-13,451,1657.50
4,2021-12-15,2021-12-17,251,510
5,2021-10-12,2021-10-15,80,765
6,2021-04-18,2021-04-22,808,1020
7,2021-08-25,2021-08-30,534,1402.50
8,2021-04-08,2021-04-09,524,255
9,2022-02-26,2022-02-27,663,318.75
10,2021-11-06,2021-11-09,488,828.75
11,2021-09-02,2021-09-09,636,1912.50
12,2021-05-20,2021-05-23,34,892.50
13,2021-07-12,2021-07-18,74,1657.50
14,2021-09-11,2021-09-12,404,318.75
15,2021-10-30,2021-11-04,557,1338.75
16,2021-08-17,2021-08-19,39,510
