id,start_date,end_date,guest_id,total
1,2021-04-13,2021-04-16,946,234
2,2022-03-04,2022-03-06,292,195.0
3,2021-11-18,2021-11-24,44,507.0
4,2021-07-21,2021-07-25,777,351.0
5,2021-07-08,2021-07-09,250,78
6,2021-10-09,2021-10-13,273,331.5
7,2022-01-21,2022-01-25,73,351.0
8,2021-09-01,2021-09-05,880,351.0
9,2021-11-07,2021-11-14,165,585.0
10,2021-06-05,2021-06-10,724,409.5
11,2021-05-11,2021-05-14,267,234
12,2022-01-31,2022-02-01,527,78
13,2021-12-10,2021-12-11,360,97.5
14,2021-10-14,2021-10-20,26,507.0
15,2021-06-19,2021-06-24,430,409.5
16,2021-12-21,2021-12-26,774,429.0
17,2022-01-09,2022-01-11,18,156
18,2021-07-12,2021-07-18,513,507.0
