id,start_date,end_date,guest_id,total
1,2022-01-21,2022-01-27,582,2847.0
2,2021-12-26,2021-12-30,334,1752
3,2022-03-11,2022-03-14,534,1533.0
4,2021-07-22,2021-07-25,775,1533.0
5,2021-07-26,2021-07-29,734,1314
6,2021-11-01,2021-11-04,68,1314
7,2021-09-08,2021-09-15,250,3285.0
8,2021-08-16,2021-08-20,881,1752
9,2022-03-05,2022-03-11,281,2737.5
10,2021-08-30,2021-09-06,20,3285.0
11,2021-05-26,2021-05-30,46,1971.0
12,2021-12-24,2021-12-25,882,547.5
13,2021-06-13,2021-06-18,526,2190
14,2021-09-28,2021-09-30,564,876
15,2022-02-10,2022-02-13,795,1533.0
