id,start_date,end_date,guest_id,total
1,2022-01-17,2022-01-20,946,597
2,2021-06-22,2021-06-29,346,1492.50
3,2022-03-16,2022-03-17,842,199
4,2021-10-08,2021-10-14,762,1293.50
5,2022-02-17,2022-02-18,816,199
6,2022-01-20,2022-01-22,850,447.75
7,2021-10-30,2021-11-05,99,1243.75
8,2021-11-22,2021-11-28,708,1293.50
9,2021-06-15,2021-06-21,549,1293.50
10,2021-05-27,2021-05-29,93,447.75
11,2021-11-29,2021-12-06,376,1492.50
12,2022-03-18,2022-03-19,555,248.75
13,2021-12-30,2022-01-01,653,447.75
14,2021-05-01,2021-05-05,1,845.75
15,2021-09-24,2021-09-25,804,248.75
