id,start_date,end_date,guest_id,total
1,2021-12-28,2021-12-29,176,144
2,2021-08-17,2021-08-19,133,288
3,2021-09-06,2021-09-10,783,576
4,2022-03-05,2022-03-09,651,612
5,2021-03-28,2021-04-01,616,576
6,2021-05-06,2021-05-07,941,144
7,2021-07-26,2021-07-31,216,756
8,2021-11-22,2021-11-27,496,756
9,2021-12-03,2021-12-07,903,648
10,2022-03-04,2022-03-05,584,180
11,2021-10-22,2021-10-24,887,360
12,2022-03-09,2022-03-16,409,1080
13,2021-09-14,2021-09-19,314,792
14,2022-02-22,2022-02-26,623,612
15,2021-10-18,2021-10-21,670,432
16,2021-04-28,2021-05-05,773,1080
17,2021-08-23,2021-08-24,697,144
18,2021-11-06,2021-11-10,439,612
19,2021-04-06,2021-04-11,41,792
20,2021-07-01,2021-07-04,136,504
