id,start_date,end_date,guest_id,total
1,2022-03-10,2022-03-14,934,1579.50
2,2022-01-04,2022-01-10,20,2281.50
3,2021-04-17,2021-04-22,243,1842.75
4,2021-10-09,2021-10-12,800,1140.75
5,2021-04-12,2021-04-15,863,1053
6,2022-02-27,2022-02-28,125,351
7,2021-09-11,2021-09-17,461,2193.75
8,2021-12-16,2021-12-18,363,789.75
9,2021-09-19,2021-09-26,955,2632.50
10,2021-09-28,2021-10-01,301,1053
11,2021-05-17,2021-05-20,520,1053
12,2021-11-23,2021-11-27,141,1491.75
13,2022-02-09,2022-02-15,321,2281.50
14,2021-11-08,2021-11-12,704,1404
15,2021-07-31,2021-08-03,508,1140.75
16,2021-08-19,2021-08-22,833,1228.50
17,2021-08-22,2021-08-28,34,2193.75
