id,start_date,end_date,guest_id,total
1,2021-04-15,2021-04-19,272,1273.50
2,2021-03-29,2021-04-03,926,1485.75
3,2021-06-23,2021-06-27,156,1273.50
4,2021-07-05,2021-07-12,845,2122.50
5,2021-08-28,2021-09-01,602,1202.75
6,2021-09-30,2021-10-06,399,1839.50
7,2021-09-07,2021-09-13,23,1839.50
8,2022-01-15,2022-01-20,450,1485.75
9,2021-10-06,2021-10-13,410,2122.50
10,2022-01-09,2022-01-15,782,1768.75
11,2021-10-27,2021-10-31,478,1273.50
12,2022-03-02,2022-03-06,559,1273.50
13,2022-02-10,2022-02-13,451,990.50
14,2021-06-08,2021-06-13,927,1556.50
15,2021-04-04,2021-04-05,310,283
16,2021-11-11,2021-11-12,853,283
17,2021-08-12,2021-08-13,196,283
