id,start_date,end_date,guest_id,total
1,2021-03-29,2021-03-30,961,476
2,2021-04-07,2021-04-10,956,1547
3,2021-12-12,2021-12-13,361,476
4,2021-04-13,2021-04-16,308,1428
5,2021-09-17,2021-09-20,764,1666
6,2021-11-11,2021-11-15,254,2142
7,2021-08-06,2021-08-13,522,3570
8,2021-12-19,2021-12-24,517,2380
9,2021-03-30,2021-04-04,302,2618
10,2022-02-20,2022-02-27,152,3570
11,2021-07-06,2021-07-13,582,3570
12,2022-01-12,2022-01-18,717,3094
13,2022-03-15,2022-03-19,908,2023
14,2022-02-11,2022-02-16,462,2618
15,2021-03-25,2021-03-27,386,1071
16,2021-06-15,2021-06-19,123,2023
17,2021-05-01,2021-05-05,572,2023
